"♠8♥7♣4♠4♣3 | Pair
","♦5♥7♥3♣2♦7 | Pair
","♠8♥7♣4♠4♦9 | Pair
","♠8♥7♣4♦J♠4 | Pair
","♠8♥7♥3♣2♣3 | Pair
","♠8♥7♥3♦7♦J | Pair
","♠8♥7♥3♦7♠4 | Pair
","♠8♥7♥3♦7♦9 | Pair
","♠8♥7♣4♦7♣3 | Pair
","♠8♥7♣4♦7♦9 | Pair
","♠8♥7♥3♦J♣3 | Pair
","♠8♥7♥3♠4♣3 | Pair
","♠8♥7♥3♦9♣3 | Pair
","♠8♥7♣2♦7♦J | Pair
","♠8♥7♣2♦7♠4 | Pair
","♠8♥7♣2♦7♦9 | Pair
","♠8♥7♣2♦7♣3 | Pair
","♠8♥7♣4♦7♦J | Pair
","♠8♥7♣4♣2♠4 | Pair
","♠8♥7♣4♣2♦7 | Pair
","♠8♥7♣4♥3♣3 | Pair
","♠8♥7♣4♥3♠4 | Pair
","♠8♥7♣4♥3♦7 | Pair
","♠8♥7♦7♦J♠4 | Pair
","♠8♥7♦7♦J♦9 | Pair
","♠8♥7♦7♦J♣3 | Pair
","♠8♥7♦7♠4♦9 | Pair
","♠8♥7♦7♠4♣3 | Pair
","♠8♥7♦7♦9♣3 | Pair
","♦5♥3♠4♦9♣3 | Pair
","♦5♥3♦J♦9♣3 | Pair
","♦5♥3♦J♠4♣3 | Pair
","♦5♥3♦7♦9♣3 | Pair
","♦5♥3♦7♠4♣3 | Pair
","♦5♥3♦7♦J♣3 | Pair
","♠8♣4♥3♣2♠4 | Pair
","♦5♥3♣2♦9♣3 | Pair
","♠8♣4♥3♣2♣3 | Pair
","♦5♥3♣2♠4♣3 | Pair
","♠8♣4♥3♦7♠4 | Pair
","♦5♥3♣2♦J♣3 | Pair
","♠8♣4♥3♦7♣3 | Pair
","♠8♣4♥3♦J♠4 | Pair
","♦5♥3♣2♦7♣3 | Pair
","♠8♣4♥3♦J♣3 | Pair
","♠8♣4♥3♠4♦9 | Pair
","♠8♣4♥3♦9♣3 | Pair
","♦5♣4♠4♦9♣3 | Pair
","♦5♠8♥7♣4♦7 | Pair
","♠8♣4♣2♦7♠4 | Pair
","♦5♣4♦J♠4♣3 | Pair
","♦5♣4♦J♠4♦9 | Pair
","♠8♣4♣2♦J♠4 | Pair
","♦5♣4♦7♠4♣3 | Pair
","♦5♣4♦7♠4♦9 | Pair
","♠8♣4♣2♠4♦9 | Pair
","♠8♣4♣2♠4♣3 | Pair
","♦5♣4♦7♦J♠4 | Pair
","♠8♣4♦7♦J♠4 | Pair
","♦5♣4♣2♠4♣3 | Pair
","♦5♣4♣2♠4♦9 | Pair
","♠8♣4♦7♠4♦9 | Pair
","♠8♣4♦7♠4♣3 | Pair
","♦5♣4♣2♦J♠4 | Pair
","♠8♣4♦J♠4♦9 | Pair
","♠8♣4♦J♠4♣3 | Pair
","♦5♣4♣2♦7♠4 | Pair
","♠8♣4♠4♦9♣3 | Pair
","♦5♣4♥3♦9♣3 | Pair
","♦5♠8♥7♣4♠4 | Pair
","♦5♠8♥7♥3♦7 | Pair
","♦5♠8♥7♥3♣3 | Pair
","♦5♣4♥3♠4♦9 | Pair
","♠8♥3♣2♦7♣3 | Pair
","♦5♣4♥3♦J♣3 | Pair
","♦5♣4♥3♦J♠4 | Pair
","♠8♥3♣2♦J♣3 | Pair
","♦5♣4♥3♦7♣3 | Pair
","♠8♥3♣2♠4♣3 | Pair
","♠8♥3♣2♦9♣3 | Pair
","♦5♣4♥3♦7♠4 | Pair
","♦5♣4♥3♣2♣3 | Pair
","♠8♥3♦7♦J♣3 | Pair
","♦5♣4♥3♣2♠4 | Pair
","♠8♥3♦7♠4♣3 | Pair
","♠8♥3♦7♦9♣3 | Pair
","♦5♥7♦7♦9♣3 | Pair
","♠8♥3♦J♠4♣3 | Pair
","♠8♥3♦J♦9♣3 | Pair
","♠8♥3♠4♦9♣3 | Pair
","♦5♥7♦7♠4♣3 | Pair
","♦5♥7♦7♠4♦9 | Pair
","♦5♥7♦7♦J♣3 | Pair
","♦5♥7♦7♦J♦9 | Pair
","♦5♥7♦7♦J♠4 | Pair
","♦5♥7♣2♦7♣3 | Pair
","♦5♥7♣2♦7♦9 | Pair
","♦5♥7♣2♦7♠4 | Pair
","♦5♥7♣2♦7♦J | Pair
","♦5♥7♥3♦9♣3 | Pair
","♦5♥7♥3♠4♣3 | Pair
","♦5♥7♥3♦J♣3 | Pair
","♦5♠8♥7♣2♦7 | Pair
","♦5♥7♥3♦7♦9 | Pair
","♦5♥7♥3♦7♠4 | Pair
","♥7♣4♥3♣2♦7 | Pair
","♦5♥7♥3♦7♦J | Pair
","♥7♣4♥3♣2♠4 | Pair
","♦5♥7♥3♣2♣3 | Pair
","♥7♣4♥3♣2♣3 | Pair
","♥7♣4♥3♦7♦J | Pair
","♦5♠8♥7♦7♦J | Pair
","♥7♣4♥3♦7♦9 | Pair
","♥3♦J♠4♦9♣3 | Pair
","♥7♣4♥3♦J♠4 | Pair
","♠8♥7♥3♣2♦7 | Pair
","♥7♣4♥3♦J♣3 | Pair
","♥7♣4♥3♠4♦9 | Pair
","♥3♦7♠4♦9♣3 | Pair
","♥7♣4♥3♦9♣3 | Pair
","♥7♣4♣2♦7♦J | Pair
","♥3♦7♦J♦9♣3 | Pair
","♥7♣4♣2♦7♦9 | Pair
","♥7♣4♣2♦7♣3 | Pair
","♥7♣4♣2♦J♠4 | Pair
","♦5♥7♣4♠4♣3 | Pair
","♦5♥7♣4♠4♦9 | Pair
","♥7♣4♣2♠4♦9 | Pair
","♥7♣4♣2♠4♣3 | Pair
","♦5♥7♣4♦J♠4 | Pair
","♥3♦7♦J♠4♣3 | Pair
","♥7♣4♦7♦J♦9 | Pair
","♥7♣4♦7♦J♣3 | Pair
","♦5♠8♥7♦7♠4 | Pair
","♥3♣2♠4♦9♣3 | Pair
","♥7♣4♦7♦9♣3 | Pair
","♥7♣4♦J♠4♦9 | Pair
","♥7♣4♦J♠4♣3 | Pair
","♦5♥7♣4♦7♣3 | Pair
","♥7♣4♠4♦9♣3 | Pair
","♥7♥3♣2♦7♦J | Pair
","♥7♥3♣2♦7♠4 | Pair
","♥7♥3♣2♦7♦9 | Pair
","♥3♣2♦J♦9♣3 | Pair
","♦5♥7♣4♦7♦9 | Pair
","♥3♣2♦J♠4♣3 | Pair
","♥7♥3♣2♦J♣3 | Pair
","♦5♥7♣4♦7♦J | Pair
","♥7♥3♣2♠4♣3 | Pair
","♥7♥3♣2♦9♣3 | Pair
","♥7♥3♦7♦J♠4 | Pair
","♥7♥3♦7♦J♦9 | Pair
","♦5♠8♥7♦7♦9 | Pair
","♥7♥3♦7♠4♦9 | Pair
","♥3♣2♦7♦9♣3 | Pair
","♥3♣2♦7♠4♣3 | Pair
","♦5♥7♣4♣2♠4 | Pair
","♥7♥3♦J♠4♣3 | Pair
","♥7♥3♦J♦9♣3 | Pair
","♥7♥3♠4♦9♣3 | Pair
","♥7♣2♦7♦J♠4 | Pair
","♥7♣2♦7♦J♦9 | Pair
","♥7♣2♦7♦J♣3 | Pair
","♥7♣2♦7♠4♦9 | Pair
","♥7♣2♦7♠4♣3 | Pair
","♥7♣2♦7♦9♣3 | Pair
","♦5♥7♣4♣2♦7 | Pair
","♦5♥7♣4♥3♣3 | Pair
","♦5♥7♣4♥3♠4 | Pair
","♦5♥7♣4♥3♦7 | Pair
","♥7♦7♦J♠4♦9 | Pair
","♥7♦7♦J♠4♣3 | Pair
","♥7♦7♦J♦9♣3 | Pair
","♥7♦7♠4♦9♣3 | Pair
","♦5♠8♥3♦9♣3 | Pair
","♦5♠8♥3♠4♣3 | Pair
","♣4♥3♣2♦7♠4 | Pair
","♦5♠8♥3♦J♣3 | Pair
","♣4♥3♣2♦7♣3 | Pair
","♣4♥3♣2♦J♠4 | Pair
","♦5♠8♥3♦7♣3 | Pair
","♣4♥3♣2♦J♣3 | Pair
","♣4♥3♣2♠4♦9 | Pair
","♦5♠8♥7♦7♣3 | Pair
","♣4♥3♣2♦9♣3 | Pair
","♣4♥3♦7♦J♠4 | Pair
","♦5♠8♥3♣2♣3 | Pair
","♣4♥3♦7♦J♣3 | Pair
","♣4♥3♦7♠4♦9 | Pair
","♥3♣2♦7♦J♣3 | Pair
","♣4♥3♦7♦9♣3 | Pair
","♣4♥3♦J♠4♦9 | Pair
","♦5♠8♣4♥3♠4 | Pair
","♣4♥3♦J♦9♣3 | Pair
","♦5♠8♣4♥3♣3 | Pair
","♣4♣2♦7♦J♠4 | Pair
","♦5♠8♣4♠4♣3 | Pair
","♦5♠8♣4♠4♦9 | Pair
","♣4♣2♦7♠4♦9 | Pair
","♣4♣2♦7♠4♣3 | Pair
","♦5♠8♣4♦J♠4 | Pair
","♣4♣2♦J♠4♦9 | Pair
","♣4♣2♦J♠4♣3 | Pair
","♦5♠8♣4♦7♠4 | Pair
","♣4♣2♠4♦9♣3 | Pair
","♣4♦7♦J♠4♦9 | Pair
","♣4♦7♦J♠4♣3 | Pair
","♦5♠8♣4♣2♠4 | Pair
","♣4♦7♠4♦9♣3 | Pair
","♣4♦J♠4♦9♣3 | Pair
","♣4♥3♠4♦9♣3 | TwoPairs
","♣4♥3♦J♠4♣3 | TwoPairs
","♣4♥3♦7♠4♣3 | TwoPairs
","♣4♥3♣2♠4♣3 | TwoPairs
","♥7♥3♦7♦9♣3 | TwoPairs
","♥7♥3♦7♠4♣3 | TwoPairs
","♥7♥3♦7♦J♣3 | TwoPairs
","♦5♥7♣4♦7♠4 | TwoPairs
","♥7♥3♣2♦7♣3 | TwoPairs
","♥7♣4♦7♠4♣3 | TwoPairs
","♥7♣4♦7♠4♦9 | TwoPairs
","♥7♣4♦7♦J♠4 | TwoPairs
","♥7♣4♣2♦7♠4 | TwoPairs
","♥7♣4♥3♠4♣3 | TwoPairs
","♥7♣4♥3♦7♣3 | TwoPairs
","♥7♣4♥3♦7♠4 | TwoPairs
","♦5♥7♥3♦7♣3 | TwoPairs
","♦5♣4♥3♠4♣3 | TwoPairs
","♠8♣4♥3♠4♣3 | TwoPairs
","♠8♥7♣4♦7♠4 | TwoPairs
","♠8♥7♥3♦7♣3 | TwoPairs
"
