♥4,♠4,♣7,♥6,♣3 | Pair
♥4,♠4,♣7,♥6,♠3 | Pair
♥4,♠4,♣7,♥6,♦8 | Pair
♥4,♠4,♣7,♥6,♦2 | Pair
♥4,♠4,♣7,♥6,♠8 | Pair
♥4,♠4,♣7,♥6,♥J | Pair
♥4,♠4,♣7,♥6,♠2 | Pair
♥4,♠4,♣7,♥6,♦10 | Pair
♥4,♠4,♣7,♥6,♣2 | Pair
♥4,♠4,♣7,♥6,♥Q | Pair
♥4,♠4,♣7,♣3,♠3 | Two Pairs
♥4,♠4,♣7,♣3,♦8 | Pair
♥4,♠4,♣7,♣3,♦2 | Pair
♥4,♠4,♣7,♣3,♠8 | Pair
♥4,♠4,♣7,♣3,♥J | Pair
♥4,♠4,♣7,♣3,♠2 | Pair
♥4,♠4,♣7,♣3,♦10 | Pair
♥4,♠4,♣7,♣3,♣2 | Pair
♥4,♠4,♣7,♣3,♥Q | Pair
♥4,♠4,♣7,♠3,♦8 | Pair
♥4,♠4,♣7,♠3,♦2 | Pair
♥4,♠4,♣7,♠3,♠8 | Pair
♥4,♠4,♣7,♠3,♥J | Pair
♥4,♠4,♣7,♠3,♠2 | Pair
♥4,♠4,♣7,♠3,♦10 | Pair
♥4,♠4,♣7,♠3,♣2 | Pair
♥4,♠4,♣7,♠3,♥Q | Pair
♥4,♠4,♣7,♦8,♦2 | Pair
♥4,♠4,♣7,♦8,♠8 | Two Pairs
♥4,♠4,♣7,♦8,♥J | Pair
♥4,♠4,♣7,♦8,♠2 | Pair
♥4,♠4,♣7,♦8,♦10 | Pair
♥4,♠4,♣7,♦8,♣2 | Pair
♥4,♠4,♣7,♦8,♥Q | Pair
♥4,♠4,♣7,♦2,♠8 | Pair
♥4,♠4,♣7,♦2,♥J | Pair
♥4,♠4,♣7,♦2,♠2 | Two Pairs
♥4,♠4,♣7,♦2,♦10 | Pair
♥4,♠4,♣7,♦2,♣2 | Two Pairs
♥4,♠4,♣7,♦2,♥Q | Pair
♥4,♠4,♣7,♠8,♥J | Pair
♥4,♠4,♣7,♠8,♠2 | Pair
♥4,♠4,♣7,♠8,♦10 | Pair
♥4,♠4,♣7,♠8,♣2 | Pair
♥4,♠4,♣7,♠8,♥Q | Pair
♥4,♠4,♣7,♥J,♠2 | Pair
♥4,♠4,♣7,♥J,♦10 | Pair
♥4,♠4,♣7,♥J,♣2 | Pair
♥4,♠4,♣7,♥J,♥Q | Pair
♥4,♠4,♣7,♠2,♦10 | Pair
♥4,♠4,♣7,♠2,♣2 | Two Pairs
♥4,♠4,♣7,♠2,♥Q | Pair
♥4,♠4,♣7,♦10,♣2 | Pair
♥4,♠4,♣7,♦10,♥Q | Pair
♥4,♠4,♣7,♣2,♥Q | Pair
♥4,♠4,♥6,♣3,♠3 | Two Pairs
♥4,♠4,♥6,♣3,♦8 | Pair
♥4,♠4,♥6,♣3,♦2 | Pair
♥4,♠4,♥6,♣3,♠8 | Pair
♥4,♠4,♥6,♣3,♥J | Pair
♥4,♠4,♥6,♣3,♠2 | Pair
