♣2,♠3,♥A,♠10,♥3 | Pair
♣2,♠3,♥A,♠10,♣A | Pair
♣2,♠3,♥A,♠K,♥3 | Pair
♣2,♠3,♥A,♠K,♣A | Pair
♣2,♠3,♥A,♦8,♥3 | Pair
♣2,♠3,♥A,♦8,♣A | Pair
♣2,♠3,♥A,♦8,♠8 | Pair
♣2,♠3,♥A,♥7,♥3 | Pair
♣2,♠3,♥A,♥7,♣A | Pair
♣2,♠3,♥A,♥3,♣A | Two Pairs
♣2,♠3,♥A,♥3,♠Q | Pair
♣2,♠3,♥A,♥3,♦Q | Pair
♣2,♠3,♥A,♥3,♠8 | Pair
♣2,♠3,♥A,♥3,♦9 | Pair
♣2,♠3,♥A,♣A,♠Q | Pair
♣2,♠3,♥A,♣A,♦Q | Pair
♣2,♠3,♥A,♣A,♠8 | Pair
♣2,♠3,♥A,♣A,♦9 | Pair
♣2,♠3,♥A,♠Q,♦Q | Pair
♣2,♠3,♠10,♠K,♥3 | Pair
♣2,♠3,♠10,♦8,♥3 | Pair
♣2,♠3,♠10,♦8,♠8 | Pair
♣2,♠3,♠10,♥7,♥3 | Pair
♣2,♠3,♠10,♥3,♣A | Pair
♣2,♠3,♠10,♥3,♠Q | Pair
♣2,♠3,♠10,♥3,♦Q | Pair
♣2,♠3,♠10,♥3,♠8 | Pair
♣2,♠3,♠10,♥3,♦9 | Pair
♣2,♠3,♠10,♠Q,♦Q | Pair
♣2,♠3,♠K,♦8,♥3 | Pair
♣2,♠3,♠K,♦8,♠8 | Pair
♣2,♠3,♠K,♥7,♥3 | Pair
♣2,♠3,♠K,♥3,♣A | Pair
♣2,♠3,♠K,♥3,♠Q | Pair
♣2,♠3,♠K,♥3,♦Q | Pair
♣2,♠3,♠K,♥3,♠8 | Pair
♣2,♠3,♠K,♥3,♦9 | Pair
♣2,♠3,♠K,♠Q,♦Q | Pair
♣2,♠3,♦8,♥7,♥3 | Pair
♣2,♠3,♦8,♥7,♠8 | Pair
