♦8,♠10,♣J,♠J,♠A | Pair
♣2,♠10,♣J,♠J,♠A | Pair
♠8,♠10,♣J,♠J,♠A | Pair
♠10,♣J,♠J,♥J,♠A | Full House
♠10,♣J,♠J,♥Q,♠A | Pair
♦2,♠10,♣J,♠J,♠A | Pair
♥3,♠10,♣J,♠J,♠A | Pair
♣4,♠10,♣J,♠J,♠A | Pair
♦5,♠10,♣J,♠J,♠A | Pair
♣8,♠10,♣J,♠J,♠A | Pair
♣2,♦8,♣J,♠J,♠A | Pair
♦8,♠8,♣J,♠J,♠A | Two Pairs
♦8,♣J,♠J,♥J,♠A | Full House
♦8,♣J,♠J,♥Q,♠A | Pair
♦2,♦8,♣J,♠J,♠A | Pair
♥3,♦8,♣J,♠J,♠A | Pair
♣4,♦8,♣J,♠J,♠A | Pair
♦5,♦8,♣J,♠J,♠A | Pair
♦8,♣8,♣J,♠J,♠A | Two Pairs
♣2,♠8,♣J,♠J,♠A | Pair
♣2,♣J,♠J,♥J,♠A | Full House
♣2,♣J,♠J,♥Q,♠A | Pair
♣2,♦2,♣J,♠J,♠A | Two Pairs
♣2,♥3,♣J,♠J,♠A | Pair
♣2,♣4,♣J,♠J,♠A | Pair
♣2,♦5,♣J,♠J,♠A | Pair
♣2,♣8,♣J,♠J,♠A | Pair
♠8,♣J,♠J,♥J,♠A | Full House
♠8,♣J,♠J,♥Q,♠A | Pair
♦2,♠8,♣J,♠J,♠A | Pair
♥3,♠8,♣J,♠J,♠A | Pair
♣4,♠8,♣J,♠J,♠A | Pair
♦5,♠8,♣J,♠J,♠A | Pair
♠8,♣8,♣J,♠J,♠A | Two Pairs
♣J,♠J,♥J,♥Q,♠A | Full House
♦2,♣J,♠J,♥J,♠A | Full House
♥3,♣J,♠J,♥J,♠A | Full House
♣4,♣J,♠J,♥J,♠A | Full House
♦5,♣J,♠J,♥J,♠A | Full House
♣8,♣J,♠J,♥J,♠A | Full House
♦2,♣J,♠J,♥Q,♠A | Pair
♥3,♣J,♠J,♥Q,♠A | Pair
♣4,♣J,♠J,♥Q,♠A | Pair
♦5,♣J,♠J,♥Q,♠A | Pair
♣8,♣J,♠J,♥Q,♠A | Pair
♦2,♥3,♣J,♠J,♠A | Pair
♦2,♣4,♣J,♠J,♠A | Pair
♦2,♦5,♣J,♠J,♠A | Pair
♦2,♣8,♣J,♠J,♠A | Pair
♥3,♣4,♣J,♠J,♠A | Pair
♥3,♦5,♣J,♠J,♠A | Pair
♥3,♣8,♣J,♠J,♠A | Pair
♣4,♦5,♣J,♠J,♠A | Pair
♣4,♣8,♣J,♠J,♠A | Pair
♦5,♣8,♣J,♠J,♠A | Pair
♣2,♦8,♠10,♣J,♠J | Pair
♦8,♠8,♠10,♣J,♠J | Two Pairs
♦8,♠10,♣J,♠J,♥J | Full House
♦8,♠10,♣J,♠J,♥Q | Pair
♦2,♦8,♠10,♣J,♠J | Pair
♥3,♦8,♠10,♣J,♠J | Pair
♣4,♦8,♠10,♣J,♠J | Pair
♦5,♦8,♠10,♣J,♠J | Pair
♦8,♣8,♠10,♣J,♠J | Two Pairs
♣2,♠8,♠10,♣J,♠J | Pair
♣2,♠10,♣J,♠J,♥J | Full House
♣2,♠10,♣J,♠J,♥Q | Pair
♣2,♦2,♠10,♣J,♠J | Two Pairs
♣2,♥3,♠10,♣J,♠J | Pair
♣2,♣4,♠10,♣J,♠J | Pair
♣2,♦5,♠10,♣J,♠J | Pair
♣2,♣8,♠10,♣J,♠J | Pair
♠8,♠10,♣J,♠J,♥J | Full House
♠8,♠10,♣J,♠J,♥Q | Pair
♦2,♠8,♠10,♣J,♠J | Pair
