♥2,♥7,♣9,♥8,♠2 | Pair
♥2,♥7,♣9,♣J,♠2 | Pair
♥2,♥7,♣9,♥4,♠2 | Pair
♥2,♥7,♣9,♥4,♦4 | Pair
♥2,♥7,♣9,♥4,♠4 | Pair
♥2,♥7,♣9,♠2,♠5 | Pair
♥2,♥7,♣9,♠2,♥10 | Pair
♥2,♥7,♣9,♠2,♣A | Pair
♥2,♥7,♣9,♠2,♠K | Pair
♥2,♥7,♣9,♠2,♦4 | Pair
♥2,♥7,♣9,♠2,♠4 | Pair
♥2,♥7,♣9,♦4,♠4 | Pair
♥2,♥7,♥8,♣J,♠2 | Pair
♥2,♥7,♥8,♥4,♠2 | Pair
♥2,♥7,♥8,♥4,♥10 | Flush
♥2,♥7,♥8,♥4,♦4 | Pair
♥2,♥7,♥8,♥4,♠4 | Pair
♥2,♥7,♥8,♠2,♠5 | Pair
♥2,♥7,♥8,♠2,♥10 | Pair
♥2,♥7,♥8,♠2,♣A | Pair
♥2,♥7,♥8,♠2,♠K | Pair
♥2,♥7,♥8,♠2,♦4 | Pair
♥2,♥7,♥8,♠2,♠4 | Pair
♥2,♥7,♥8,♦4,♠4 | Pair
♥2,♥7,♣J,♥4,♠2 | Pair
♥2,♥7,♣J,♥4,♦4 | Pair
♥2,♥7,♣J,♥4,♠4 | Pair
♥2,♥7,♣J,♠2,♠5 | Pair
♥2,♥7,♣J,♠2,♥10 | Pair
♥2,♥7,♣J,♠2,♣A | Pair
♥2,♥7,♣J,♠2,♠K | Pair
♥2,♥7,♣J,♠2,♦4 | Pair
♥2,♥7,♣J,♠2,♠4 | Pair
♥2,♥7,♣J,♦4,♠4 | Pair
♥2,♥7,♥4,♠2,♠5 | Pair
♥2,♥7,♥4,♠2,♥10 | Pair
♥2,♥7,♥4,♠2,♣A | Pair
♥2,♥7,♥4,♠2,♠K | Pair
♥2,♥7,♥4,♠2,♦4 | Two Pairs
♥2,♥7,♥4,♠2,♠4 | Two Pairs
♥2,♥7,♥4,♠5,♦4 | Pair
♥2,♥7,♥4,♠5,♠4 | Pair
♥2,♥7,♥4,♥10,♦4 | Pair
♥2,♥7,♥4,♥10,♠4 | Pair
