♦2,♥Q,♣9,♦5,♠2 | Pair
♦2,♥Q,♣9,♦5,♣2 | Pair
♦2,♥Q,♣9,♠2,♣2 | Pair
♦2,♥Q,♣9,♠2,♥6 | Pair
♦2,♥Q,♣9,♠2,♥7 | Pair
♦2,♥Q,♣9,♠2,♣4 | Pair
♦2,♥Q,♣9,♣2,♥6 | Pair
♦2,♥Q,♣9,♣2,♥7 | Pair
♦2,♥Q,♣9,♣2,♣4 | Pair
♦2,♥Q,♦5,♠2,♣2 | Pair
♦2,♥Q,♦5,♠2,♥6 | Pair
♦2,♥Q,♦5,♠2,♥7 | Pair
♦2,♥Q,♦5,♠2,♣4 | Pair
♦2,♥Q,♦5,♣2,♥6 | Pair
♦2,♥Q,♦5,♣2,♥7 | Pair
♦2,♥Q,♦5,♣2,♣4 | Pair
♦2,♥Q,♠2,♣2,♥6 | Three of a Kind
♦2,♥Q,♠2,♣2,♥7 | Three of a Kind
♦2,♥Q,♠2,♣2,♣4 | Three of a Kind
♦2,♥Q,♠2,♥6,♥7 | Pair
♦2,♥Q,♠2,♥6,♣4 | Pair
♦2,♥Q,♠2,♥7,♣4 | Pair
♦2,♥Q,♣2,♥6,♥7 | Pair
♦2,♥Q,♣2,♥6,♣4 | Pair
♦2,♥Q,♣2,♥7,♣4 | Pair
♦2,♣9,♦5,♠2,♣2 | Pair
♦2,♣9,♦5,♠2,♥6 | Pair
♦2,♣9,♦5,♠2,♥7 | Pair
♦2,♣9,♦5,♠2,♣4 | Pair
♦2,♣9,♦5,♣2,♥6 | Pair
♦2,♣9,♦5,♣2,♥7 | Pair
♦2,♣9,♦5,♣2,♣4 | Pair
♦2,♣9,♠2,♣2,♥6 | Three of a Kind
♦2,♣9,♠2,♣2,♥7 | Three of a Kind
♦2,♣9,♠2,♣2,♣4 | Three of a Kind
♦2,♣9,♠2,♥6,♥7 | Pair
♦2,♣9,♠2,♥6,♣4 | Pair
♦2,♣9,♠2,♥7,♣4 | Pair
♦2,♣9,♣2,♥6,♥7 | Pair
♦2,♣9,♣2,♥6,♣4 | Pair
♦2,♣9,♣2,♥7,♣4 | Pair
♦2,♦5,♠2,♣2,♥6 | Three of a Kind
♦2,♦5,♠2,♣2,♥7 | Three of a Kind
♦2,♦5,♠2,♣2,♣4 | Three of a Kind
♦2,♦5,♠2,♥6,♥7 | Pair
♦2,♦5,♠2,♥6,♣4 | Pair
♦2,♦5,♠2,♥7,♣4 | Pair
♦2,♦5,♣2,♥6,♥7 | Pair
♦2,♦5,♣2,♥6,♣4 | Pair
♦2,♦5,♣2,♥7,♣4 | Pair
♦2,♠2,♣2,♥6,♥7 | Three of a Kind
♦2,♠2,♣2,♥6,♣4 | Three of a Kind
♦2,♠2,♣2,♥7,♣4 | Three of a Kind
♦2,♠2,♥6,♥7,♣4 | Pair
♦2,♣2,♥6,♥7,♣4 | Pair
♥Q,♣9,♦5,♠2,♣2 | Pair
♥Q,♣9,♠2,♣2,♥6 | Pair
♥Q,♣9,♠2,♣2,♥7 | Pair
♥Q,♣9,♠2,♣2,♣4 | Pair
