♣2,♣6,♦5,♦6,♥A | Pair
♣2,♣6,♦5,♦6,♣J | Pair
♣2,♣6,♦5,♦6,♥K | Pair
♣2,♣6,♦5,♦6,♥4 | Pair
♣2,♣6,♦5,♦6,♠J | Pair
♣2,♣6,♦5,♦6,♣Q | Pair
♣2,♣6,♦5,♣J,♠J | Pair
♣2,♣6,♦6,♥A,♣J | Pair
♣2,♣6,♦6,♥A,♥K | Pair
♣2,♣6,♦6,♥A,♥4 | Pair
♣2,♣6,♦6,♥A,♠J | Pair
♣2,♣6,♦6,♥A,♣Q | Pair
♣2,♣6,♦6,♣J,♥K | Pair
♣2,♣6,♦6,♣J,♥4 | Pair
♣2,♣6,♦6,♣J,♠J | Two Pairs
♣2,♣6,♦6,♣J,♣Q | Pair
♣2,♣6,♦6,♥K,♥4 | Pair
♣2,♣6,♦6,♥K,♠J | Pair
♣2,♣6,♦6,♥K,♣Q | Pair
♣2,♣6,♦6,♥4,♠J | Pair
♣2,♣6,♦6,♥4,♣Q | Pair
♣2,♣6,♦6,♠J,♣Q | Pair
♣2,♣6,♥A,♣J,♠J | Pair
♣2,♣6,♣J,♥K,♠J | Pair
♣2,♣6,♣J,♥4,♠J | Pair
♣2,♣6,♣J,♠J,♣Q | Pair
♣2,♦5,♦6,♣J,♠J | Pair
♣2,♦5,♥A,♣J,♠J | Pair
♣2,♦5,♣J,♥K,♠J | Pair
♣2,♦5,♣J,♥4,♠J | Pair
♣2,♦5,♣J,♠J,♣Q | Pair
♣2,♦6,♥A,♣J,♠J | Pair
♣2,♦6,♣J,♥K,♠J | Pair
♣2,♦6,♣J,♥4,♠J | Pair
♣2,♦6,♣J,♠J,♣Q | Pair
♣2,♥A,♣J,♥K,♠J | Pair
♣2,♥A,♣J,♥4,♠J | Pair
♣2,♥A,♣J,♠J,♣Q | Pair
♣2,♣J,♥K,♥4,♠J | Pair
♣2,♣J,♥K,♠J,♣Q | Pair
♣2,♣J,♥4,♠J,♣Q | Pair
♣6,♦5,♦6,♥A,♣J | Pair
♣6,♦5,♦6,♥A,♥K | Pair
♣6,♦5,♦6,♥A,♥4 | Pair
♣6,♦5,♦6,♥A,♠J | Pair
