"♥4♠J♥10♣J♥2 | Pair
","♣Q♠J♠8♣K♣J | Pair
","♣Q♥4♣4♠J♠8 | Pair
","♥4♣4♥10♦8♥2 | Pair
","♣Q♥4♣4♠J♣K | Pair
","♥4♣4♥10♣J♥2 | Pair
","♥6♠6♣J♦10♥2 | Pair
","♥4♣4♠8♣K♥6 | Pair
","♥4♣4♠8♣K♠6 | Pair
","♥6♠6♦8♦10♥2 | Pair
","♥4♣4♠8♣K♣J | Pair
","♥4♣4♠8♣K♦10 | Pair
","♥4♣4♠8♣K♥2 | Pair
","♥6♠6♦8♣J♥2 | Pair
","♥6♠6♦8♣J♦10 | Pair
","♥4♣4♠8♥6♣J | Pair
","♥4♣4♠8♥6♦10 | Pair
","♥4♣4♠8♥6♥2 | Pair
","♣Q♥4♣4♠J♥6 | Pair
","♥4♣4♠8♠6♣J | Pair
","♥4♣4♠8♠6♦10 | Pair
","♥4♣4♠8♠6♥2 | Pair
","♣Q♥4♣4♠J♠6 | Pair
","♣Q♥4♣4♠J♦8 | Pair
","♣Q♥4♣4♠J♦10 | Pair
","♥4♣4♠8♣J♦10 | Pair
","♥4♣4♠8♣J♥2 | Pair
","♥4♣4♠8♦10♥2 | Pair
","♣Q♥4♣4♠J♥2 | Pair
","♥4♣4♣K♥6♦8 | Pair
","♥4♣4♣K♥6♣J | Pair
","♥4♣4♣K♥6♦10 | Pair
","♥4♣4♣K♥6♥2 | Pair
","♥4♣4♣K♠6♦8 | Pair
","♥4♣4♣K♠6♣J | Pair
","♥4♣4♣K♠6♦10 | Pair
","♥4♣4♣K♠6♥2 | Pair
","♥4♣4♣K♦8♣J | Pair
","♥4♣4♣K♦8♦10 | Pair
","♥4♣4♣K♦8♥2 | Pair
","♥4♣4♣K♣J♦10 | Pair
","♥4♣4♣K♣J♥2 | Pair
","♥4♣4♣K♦10♥2 | Pair
","♣Q♥4♣4♥10♠8 | Pair
","♣Q♥4♣4♥10♣K | Pair
","♣Q♥4♣4♥10♥6 | Pair
","♣K♥6♠6♦10♥2 | Pair
","♥4♣4♥6♦8♣J | Pair
","♥4♣4♥6♦8♦10 | Pair
","♥4♣4♥6♦8♥2 | Pair
","♥4♣4♥6♣J♦10 | Pair
","♥4♣4♥6♣J♥2 | Pair
","♥4♣4♥6♦10♥2 | Pair
","♥4♣4♠6♦8♣J | Pair
","♥4♣4♠6♦8♦10 | Pair
","♥4♣4♠6♦8♥2 | Pair
","♥4♣4♠6♣J♦10 | Pair
","♥4♣4♠6♣J♥2 | Pair
","♥4♣4♠6♦10♥2 | Pair
","♥4♣4♦8♣J♦10 | Pair
","♥4♣4♦8♣J♥2 | Pair
","♥4♣4♦8♦10♥2 | Pair
","♥4♣4♣J♦10♥2 | Pair
","♥4♣4♥10♠6♥2 | Pair
","♣K♥6♠6♣J♥2 | Pair
","♥4♣4♥10♠6♣J | Pair
","♥4♠J♥10♠8♦8 | Pair
","♥4♠J♥10♠8♣J | Pair
","♥4♠J♥10♠8♦10 | Pair
","♥4♣4♥10♠6♦8 | Pair
","♥4♣4♥10♥6♥2 | Pair
","♣K♥6♠6♣J♦10 | Pair
","♥4♣4♥10♥6♣J | Pair
","♥4♠J♥10♣K♣J | Pair
","♥4♠J♥10♣K♦10 | Pair
","♥4♣4♥10♥6♦8 | Pair
","♥4♠J♥10♥6♠6 | Pair
","♣K♥6♠6♦8♥2 | Pair
","♥4♠J♥10♥6♣J | Pair
","♥4♠J♥10♥6♦10 | Pair
","♥4♣4♥10♣K♥2 | Pair
","♣K♥6♠6♦8♦10 | Pair
","♥4♠J♥10♠6♣J | Pair
","♥4♠J♥10♠6♦10 | Pair
","♥4♣4♥10♣K♣J | Pair
","♥4♠J♥10♦8♣J | Pair
","♥4♠J♥10♦8♦10 | Pair
","♥4♣4♥10♣K♦8 | Pair
","♣K♥6♠6♦8♣J | Pair
","♣Q♥4♣4♠J♥10 | Pair
","♥4♠J♥10♦10♥2 | Pair
","♥4♣4♥10♣K♠6 | Pair
","♥4♣4♥10♣K♥6 | Pair
","♥4♠J♠8♣K♦8 | Pair
","♥4♠J♠8♣K♣J | Pair
","♥4♣4♥10♠8♥2 | Pair
","♠8♦8♣J♦10♥2 | Pair
","♥4♠J♠8♥6♠6 | Pair
","♥4♠J♠8♥6♦8 | Pair
","♥4♠J♠8♥6♣J | Pair
","♥4♣4♥10♠8♣J | Pair
","♣Q♥4♣4♥10♠6 | Pair
","♥4♠J♠8♠6♦8 | Pair
","♥4♠J♠8♠6♣J | Pair
","♥4♣4♥10♠8♠6 | Pair
","♥4♣4♥10♠8♥6 | Pair
","♠8♠6♦8♦10♥2 | Pair
","♥4♠J♠8♦8♦10 | Pair
","♥4♠J♠8♦8♥2 | Pair
","♥4♠J♠8♣J♦10 | Pair
","♥4♠J♠8♣J♥2 | Pair
","♥4♣4♥10♠8♣K | Pair
","♥4♠J♣K♥6♠6 | Pair
","♥4♣4♠J♦10♥2 | Pair
","♥4♠J♣K♥6♣J | Pair
","♠8♠6♦8♣J♥2 | Pair
","♠8♠6♦8♣J♦10 | Pair
","♥4♣4♠J♦8♥2 | Pair
","♥4♠J♣K♠6♣J | Pair
","♥4♣4♠J♦8♦10 | Pair
","♣Q♥4♣4♥10♦8 | Pair
","♥4♠J♣K♦8♣J | Pair
","♥4♣4♠J♠6♥2 | Pair
","♥4♣4♠J♠6♦10 | Pair
","♥4♠J♣K♣J♦10 | Pair
","♥4♠J♣K♣J♥2 | Pair
","♠8♥6♦8♦10♥2 | Pair
","♥4♠J♥6♠6♦8 | Pair
","♠8♥6♦8♣J♥2 | Pair
","♥4♠J♥6♠6♦10 | Pair
","♥4♠J♥6♠6♥2 | Pair
","♥4♠J♥6♦8♣J | Pair
","♥4♣4♠J♠6♦8 | Pair
","♥4♣4♠J♥6♥2 | Pair
","♥4♠J♥6♣J♦10 | Pair
","♥4♠J♥6♣J♥2 | Pair
","♥4♣4♠J♥6♦10 | Pair
","♥4♠J♠6♦8♣J | Pair
","♠8♥6♦8♣J♦10 | Pair
","♥4♣4♠J♥6♦8 | Pair
","♥4♠J♠6♣J♦10 | Pair
","♥4♠J♠6♣J♥2 | Pair
","♠8♥6♠6♦10♥2 | Pair
","♥4♠J♦8♣J♦10 | Pair
","♥4♠J♦8♣J♥2 | Pair
","♥4♣4♠J♣K♥2 | Pair
","♥4♠J♣J♦10♥2 | Pair
","♥4♣4♠J♣K♦10 | Pair
","♠8♥6♠6♣J♥2 | Pair
","♥4♥10♠8♣K♦8 | Pair
","♥4♣4♠J♣K♦8 | Pair
","♥4♥10♠8♣K♦10 | Pair
","♥4♣4♠J♣K♠6 | Pair
","♥4♥10♠8♥6♠6 | Pair
","♥4♥10♠8♥6♦8 | Pair
","♥4♣4♠J♣K♥6 | Pair
","♥4♥10♠8♥6♦10 | Pair
","♥4♣4♠J♠8♥2 | Pair
","♥4♥10♠8♠6♦8 | Pair
","♥4♣4♠J♠8♦10 | Pair
","♥4♥10♠8♠6♦10 | Pair
","♠8♥6♠6♣J♦10 | Pair
","♥4♥10♠8♦8♣J | Pair
","♣Q♥4♣4♥10♣J | Pair
","♥4♥10♠8♦8♥2 | Pair
","♥4♥10♠8♣J♦10 | Pair
","♠8♣K♦8♦10♥2 | Pair
","♥4♥10♠8♦10♥2 | Pair
","♥4♥10♣K♥6♠6 | Pair
","♥4♣4♠J♠8♠6 | Pair
","♥4♣4♠J♠8♥6 | Pair
","♥4♥10♣K♥6♦10 | Pair
","♥4♣4♠J♠8♣K | Pair
","♥4♣4♠J♥10♥2 | Pair
","♠8♣K♦8♣J♥2 | Pair
","♥4♥10♣K♠6♦10 | Pair
","♠8♣K♦8♣J♦10 | Pair
","♥4♣4♠J♥10♦8 | Pair
","♥4♥10♣K♦8♦10 | Pair
","♥4♣4♠J♥10♠6 | Pair
","♥4♥10♣K♣J♦10 | Pair
","♥4♣4♠J♥10♥6 | Pair
","♥4♥10♣K♦10♥2 | Pair
","♥4♥10♥6♠6♦8 | Pair
","♥4♥10♥6♠6♣J | Pair
","♣Q♥4♣4♥10♥2 | Pair
","♥4♥10♥6♠6♥2 | Pair
","♥4♣4♠J♥10♣K | Pair
","♥4♥10♥6♦8♦10 | Pair
","♥4♣4♠J♥10♠8 | Pair
","♥4♥10♥6♣J♦10 | Pair
","♣Q♥6♠6♦10♥2 | Pair
","♥4♥10♥6♦10♥2 | Pair
","♣Q♥6♠6♣J♥2 | Pair
","♥4♥10♠6♦8♦10 | Pair
","♣Q♥6♠6♣J♦10 | Pair
","♥4♥10♠6♣J♦10 | Pair
","♣Q♥6♠6♦8♥2 | Pair
","♥4♥10♠6♦10♥2 | Pair
","♥4♥10♦8♣J♦10 | Pair
","♣Q♥6♠6♦8♦10 | Pair
","♥4♥10♦8♦10♥2 | Pair
","♥4♥10♣J♦10♥2 | Pair
","♥4♠8♣K♥6♠6 | Pair
","♥4♠8♣K♥6♦8 | Pair
","♣Q♥6♠6♦8♣J | Pair
","♣Q♣K♥6♠6♥2 | Pair
","♣Q♣K♥6♠6♦10 | Pair
","♥4♠8♣K♠6♦8 | Pair
","♣Q♣K♥6♠6♣J | Pair
","♣Q♣K♥6♠6♦8 | Pair
","♣Q♠8♦8♦10♥2 | Pair
","♥4♠8♣K♦8♣J | Pair
","♥4♠8♣K♦8♦10 | Pair
","♥4♠8♣K♦8♥2 | Pair
","♣Q♠8♦8♣J♥2 | Pair
","♣Q♠8♦8♣J♦10 | Pair
","♣Q♠8♠6♦8♥2 | Pair
","♣Q♥4♣4♠8♣K | Pair
","♥4♠8♥6♠6♣J | Pair
","♥4♠8♥6♠6♦10 | Pair
","♥4♠8♥6♠6♥2 | Pair
","♥4♠8♥6♦8♣J | Pair
","♥4♠8♥6♦8♦10 | Pair
","♥4♠8♥6♦8♥2 | Pair
","♣Q♠8♠6♦8♦10 | Pair
","♣Q♠8♠6♦8♣J | Pair
","♣Q♠8♥6♦8♥2 | Pair
","♥4♠8♠6♦8♣J | Pair
","♥4♠8♠6♦8♦10 | Pair
","♥4♠8♠6♦8♥2 | Pair
","♣Q♠8♥6♦8♦10 | Pair
","♣Q♠8♥6♦8♣J | Pair
","♣Q♠8♥6♠6♥2 | Pair
","♥4♠8♦8♣J♦10 | Pair
","♥4♠8♦8♣J♥2 | Pair
","♥4♠8♦8♦10♥2 | Pair
","♣Q♠8♥6♠6♦10 | Pair
","♥4♣K♥6♠6♦8 | Pair
","♥4♣K♥6♠6♣J | Pair
","♥4♣K♥6♠6♦10 | Pair
","♥4♣K♥6♠6♥2 | Pair
","♣Q♠8♥6♠6♣J | Pair
","♠8♣K♠6♦8♥2 | Pair
","♣Q♠8♣K♦8♥2 | Pair
","♣Q♠8♣K♦8♦10 | Pair
","♣Q♠8♣K♦8♣J | Pair
","♣Q♠8♣K♠6♦8 | Pair
","♣Q♠8♣K♥6♦8 | Pair
","♣Q♠8♣K♥6♠6 | Pair
","♣Q♥10♣J♦10♥2 | Pair
","♣Q♥10♦8♦10♥2 | Pair
","♣Q♥10♦8♣J♦10 | Pair
","♣Q♥10♠6♦10♥2 | Pair
","♣Q♥10♠6♣J♦10 | Pair
","♣Q♥10♠6♦8♦10 | Pair
","♣Q♥10♥6♦10♥2 | Pair
","♣Q♥10♥6♣J♦10 | Pair
","♥4♥6♠6♦8♣J | Pair
","♥4♥6♠6♦8♦10 | Pair
","♥4♥6♠6♦8♥2 | Pair
","♥4♥6♠6♣J♦10 | Pair
","♥4♥6♠6♣J♥2 | Pair
","♥4♥6♠6♦10♥2 | Pair
","♣Q♥10♥6♦8♦10 | Pair
","♣Q♥10♥6♠6♥2 | Pair
","♠8♣K♠6♦8♦10 | Pair
","♣Q♥10♥6♠6♣J | Pair
","♣Q♥10♥6♠6♦8 | Pair
","♣Q♥10♣K♦10♥2 | Pair
","♣Q♥10♣K♣J♦10 | Pair
","♣Q♥10♣K♦8♦10 | Pair
","♣Q♥10♣K♠6♦10 | Pair
","♣Q♥10♣K♥6♦10 | Pair
","♣Q♥10♣K♥6♠6 | Pair
","♣Q♥10♠8♦10♥2 | Pair
","♣4♠J♥10♠8♦8 | Pair
","♣4♠J♥10♠8♣J | Pair
","♣4♠J♥10♠8♦10 | Pair
","♣Q♥10♠8♣J♦10 | Pair
","♣Q♥10♠8♦8♥2 | Pair
","♠8♣K♠6♦8♣J | Pair
","♣Q♥10♠8♦8♣J | Pair
","♣4♠J♥10♣K♣J | Pair
","♣4♠J♥10♣K♦10 | Pair
","♣Q♥10♠8♠6♦10 | Pair
","♣4♠J♥10♥6♠6 | Pair
","♣Q♥10♠8♠6♦8 | Pair
","♣4♠J♥10♥6♣J | Pair
","♣4♠J♥10♥6♦10 | Pair
","♣Q♥10♠8♥6♦10 | Pair
","♣Q♥10♠8♥6♦8 | Pair
","♣4♠J♥10♠6♣J | Pair
","♣4♠J♥10♠6♦10 | Pair
","♣Q♥10♠8♥6♠6 | Pair
","♣4♠J♥10♦8♣J | Pair
","♣4♠J♥10♦8♦10 | Pair
","♣Q♥10♠8♣K♦10 | Pair
","♣Q♥4♣4♠8♥6 | Pair
","♣4♠J♥10♣J♥2 | Pair
","♣4♠J♥10♦10♥2 | Pair
","♣Q♥10♠8♣K♦8 | Pair
","♣Q♠J♣J♦10♥2 | Pair
","♣4♠J♠8♣K♦8 | Pair
","♣4♠J♠8♣K♣J | Pair
","♣Q♠J♦8♣J♥2 | Pair
","♣Q♠J♦8♣J♦10 | Pair
","♣4♠J♠8♥6♠6 | Pair
","♣4♠J♠8♥6♦8 | Pair
","♣4♠J♠8♥6♣J | Pair
","♣Q♠J♠6♣J♥2 | Pair
","♣Q♠J♠6♣J♦10 | Pair
","♣4♠J♠8♠6♦8 | Pair
","♣4♠J♠8♠6♣J | Pair
","♣Q♠J♠6♦8♣J | Pair
","♣Q♠J♥6♣J♥2 | Pair
","♣Q♥4♣4♠8♠6 | Pair
","♣4♠J♠8♦8♦10 | Pair
","♣4♠J♠8♦8♥2 | Pair
","♣4♠J♠8♣J♦10 | Pair
