♣J, ♣3, ♦A, ♣4, ♦3 | pair
♣J, ♣3, ♦A, ♠10, ♦3 | pair
♣J, ♣3, ♦A, ♦6, ♣6 | pair
♣J, ♣3, ♦A, ♦6, ♦3 | pair
♣J, ♣3, ♦A, ♦Q, ♣Q | pair
♣J, ♣3, ♦A, ♦Q, ♦3 | pair
♣J, ♣3, ♦A, ♣8, ♦3 | pair
♣J, ♣3, ♦A, ♣Q, ♦3 | pair
♣J, ♣3, ♦A, ♣7, ♦3 | pair
♣J, ♣3, ♦A, ♣6, ♦3 | pair
♣J, ♣3, ♦A, ♠9, ♦3 | pair
♣J, ♣3, ♦A, ♦K, ♦3 | pair
♣J, ♣3, ♣4, ♠10, ♦3 | pair
♣J, ♣3, ♣4, ♦6, ♣6 | pair
♣J, ♣3, ♣4, ♦6, ♦3 | pair
♣J, ♣3, ♣4, ♦Q, ♣Q | pair
♣J, ♣3, ♣4, ♦Q, ♦3 | pair
♣J, ♣3, ♣4, ♣8, ♣Q | flush
♣J, ♣3, ♣4, ♣8, ♣7 | flush
♣J, ♣3, ♣4, ♣8, ♣6 | flush
♣J, ♣3, ♣4, ♣8, ♦3 | pair
♣J, ♣3, ♣4, ♣Q, ♣7 | flush
♣J, ♣3, ♣4, ♣Q, ♣6 | flush
♣J, ♣3, ♣4, ♣Q, ♦3 | pair
♣J, ♣3, ♣4, ♣7, ♣6 | flush
♣J, ♣3, ♣4, ♣7, ♦3 | pair
♣J, ♣3, ♣4, ♣6, ♦3 | pair
♣J, ♣3, ♣4, ♠9, ♦3 | pair
♣J, ♣3, ♣4, ♦K, ♦3 | pair
♣J, ♣3, ♠10, ♦6, ♣6 | pair
♣J, ♣3, ♠10, ♦6, ♦3 | pair
♣J, ♣3, ♠10, ♦Q, ♣Q | pair
♣J, ♣3, ♠10, ♦Q, ♦3 | pair
♣J, ♣3, ♠10, ♣8, ♦3 | pair
♣J, ♣3, ♠10, ♣Q, ♦3 | pair
♣J, ♣3, ♠10, ♣7, ♦3 | pair
♣J, ♣3, ♠10, ♣6, ♦3 | pair
♣J, ♣3, ♠10, ♠9, ♦3 | pair
♣J, ♣3, ♠10, ♦K, ♦3 | pair
♣J, ♣3, ♦6, ♦Q, ♣Q | pair
♣J, ♣3, ♦6, ♦Q, ♣6 | pair
♣J, ♣3, ♦6, ♦Q, ♦3 | pair
♣J, ♣3, ♦6, ♣8, ♣6 | pair
♣J, ♣3, ♦6, ♣8, ♦3 | pair
♣J, ♣3, ♦6, ♣Q, ♣6 | pair
♣J, ♣3, ♦6, ♣Q, ♦3 | pair
♣J, ♣3, ♦6, ♣7, ♣6 | pair
♣J, ♣3, ♦6, ♣7, ♦3 | pair
♣J, ♣3, ♦6, ♣6, ♠9 | pair
♣J, ♣3, ♦6, ♣6, ♦K | pair
♣J, ♣3, ♦6, ♣6, ♦3 | two pairs
♣J, ♣3, ♦6, ♠9, ♦3 | pair
♣J, ♣3, ♦6, ♦K, ♦3 | pair
♣J, ♣3, ♦Q, ♣8, ♣Q | pair
♣J, ♣3, ♦Q, ♣8, ♦3 | pair
♣J, ♣3, ♦Q, ♣Q, ♣7 | pair
♣J, ♣3, ♦Q, ♣Q, ♣6 | pair
♣J, ♣3, ♦Q, ♣Q, ♠9 | pair
♣J, ♣3, ♦Q, ♣Q, ♦K | pair
♣J, ♣3, ♦Q, ♣Q, ♦3 | two pairs
♣J, ♣3, ♦Q, ♣7, ♦3 | pair
♣J, ♣3, ♦Q, ♣6, ♦3 | pair
♣J, ♣3, ♦Q, ♠9, ♦3 | pair
♣J, ♣3, ♦Q, ♦K, ♦3 | pair
♣J, ♣3, ♣8, ♣Q, ♣7 | flush
♣J, ♣3, ♣8, ♣Q, ♣6 | flush
♣J, ♣3, ♣8, ♣Q, ♦3 | pair
♣J, ♣3, ♣8, ♣7, ♣6 | flush
♣J, ♣3, ♣8, ♣7, ♦3 | pair
♣J, ♣3, ♣8, ♣6, ♦3 | pair
♣J, ♣3, ♣8, ♠9, ♦3 | pair
♣J, ♣3, ♣8, ♦K, ♦3 | pair
♣J, ♣3, ♣Q, ♣7, ♣6 | flush
♣J, ♣3, ♣Q, ♣7, ♦3 | pair
♣J, ♣3, ♣Q, ♣6, ♦3 | pair
♣J, ♣3, ♣Q, ♠9, ♦3 | pair
♣J, ♣3, ♣Q, ♦K, ♦3 | pair
♣J, ♣3, ♣7, ♣6, ♦3 | pair
♣J, ♣3, ♣7, ♠9, ♦3 | pair
♣J, ♣3, ♣7, ♦K, ♦3 | pair
♣J, ♣3, ♣6, ♠9, ♦3 | pair
♣J, ♣3, ♣6, ♦K, ♦3 | pair
♣J, ♣3, ♠9, ♦K, ♦3 | pair
♣J, ♦A, ♣4, ♦6, ♣6 | pair
♣J, ♦A, ♣4, ♦Q, ♣Q | pair
♣J, ♦A, ♠10, ♦6, ♣6 | pair
