"♥K♠K♠7♦4♦10 | Pair
","♥K♠7♦4♦7♥8 | Pair
","♥A♠K♦10♦7♦K | Pair
","♥A♠K♦5♦7♦K | Pair
","♥A♠K♦5♥8♦K | Pair
","♥A♠K♦7♥8♦K | Pair
","♥A♠K♦10♦5♦K | Pair
","♥A♠7♦4♦10♦7 | Pair
","♥A♠K♦4♥8♦K | Pair
","♥A♠K♦4♦7♦K | Pair
","♥A♠7♦4♦5♦7 | Pair
","♥A♠K♦4♦5♦K | Pair
","♥A♠K♦4♦10♦K | Pair
","♥A♠7♦4♦7♥8 | Pair
","♥A♠7♦4♦7♦K | Pair
","♥A♠K♠7♥8♦K | Pair
","♥A♠7♦10♦5♦7 | Pair
","♥A♥K♠K♠7♦10 | Pair
","♥A♠K♠7♦7♥8 | Pair
","♥A♠7♦10♦7♥8 | Pair
","♥A♠7♦10♦7♦K | Pair
","♥A♠K♠7♦5♦K | Pair
","♥A♠7♦5♦7♥8 | Pair
","♥A♠7♦5♦7♦K | Pair
","♥A♠K♠7♦5♦7 | Pair
","♥A♠7♦7♥8♦K | Pair
","♥A♠K♠7♦10♦K | Pair
","♥A♠K♠7♦10♦7 | Pair
","♥A♠K♠7♦4♦K | Pair
","♥A♠K♠7♦4♦7 | Pair
","♥A♥K♦7♥8♦K | Pair
","♥A♥K♦5♥8♦K | Pair
","♥A♥K♦5♦7♦K | Pair
","♥A♥K♦10♥8♦K | Pair
","♥A♥K♦10♦7♦K | Pair
","♥A♥K♦10♦5♦K | Pair
","♥A♥K♦4♥8♦K | Pair
","♥A♥K♦4♦7♦K | Pair
","♥A♥K♦4♦5♦K | Pair
","♥A♥K♦4♦10♦K | Pair
","♥A♥K♠7♥8♦K | Pair
","♥A♥K♠K♠7♦4 | Pair
","♥K♠K♠7♦4♦5 | Pair
","♥A♥K♠K♠7♦5 | Pair
","♥K♠K♠7♦4♥8 | Pair
","♥A♥K♠K♠7♥8 | Pair
","♥K♠K♠7♦10♦5 | Pair
","♠7♦5♦7♥8♦K | Pair
","♥K♠K♠7♦10♥8 | Pair
","♠7♦10♦7♥8♦K | Pair
","♥A♥K♠K♦4♦10 | Pair
","♥K♠K♠7♦5♥8 | Pair
","♠7♦10♦5♦7♦K | Pair
","♠7♦10♦5♦7♥8 | Pair
","♠7♦4♦7♥8♦K | Pair
","♥A♥K♠K♦4♦5 | Pair
","♥K♠K♦4♦10♦5 | Pair
","♥K♠K♦4♦10♦7 | Pair
