♥5,♥7,♦K,♦10,♠10 | Pair
♥5,♥7,♦10,♠10,♥4 | Pair
♥5,♥7,♦10,♠10,♠J | Pair
♥5,♥7,♦10,♠10,♥A | Pair
♥5,♥7,♦10,♠10,♦Q | Pair
♥5,♥7,♦10,♠10,♠2 | Pair
♥5,♦K,♦10,♠10,♥4 | Pair
♥5,♦K,♦10,♠10,♠J | Pair
♥5,♦K,♦10,♠10,♥A | Pair
♥5,♦K,♦10,♠10,♦Q | Pair
♥5,♦K,♦10,♠10,♠2 | Pair
♥5,♦10,♠10,♥4,♠J | Pair
♥5,♦10,♠10,♥4,♥A | Pair
♥5,♦10,♠10,♥4,♦Q | Pair
♥5,♦10,♠10,♥4,♠2 | Pair
♥5,♦10,♠10,♠J,♥A | Pair
♥5,♦10,♠10,♠J,♦Q | Pair
♥5,♦10,♠10,♠J,♠2 | Pair
♥5,♦10,♠10,♥A,♦Q | Pair
♥5,♦10,♠10,♥A,♠2 | Pair
♥5,♦10,♠10,♦Q,♠2 | Pair
♥7,♦K,♦10,♠10,♥4 | Pair
♥7,♦K,♦10,♠10,♠J | Pair
♥7,♦K,♦10,♠10,♥A | Pair
♥7,♦K,♦10,♠10,♦Q | Pair
♥7,♦K,♦10,♠10,♠2 | Pair
