♥J,♣J,♦4,♥10,♥2 | Pair
♥J,♣J,♦4,♥10,♣8 | Pair
♥J,♣J,♦4,♥10,♦7 | Pair
♥J,♣J,♦4,♥10,♦9 | Pair
♥J,♣J,♦4,♥10,♠2 | Pair
♥J,♣J,♦4,♥10,♥4 | Two Pairs
♥J,♣J,♦4,♥10,♥6 | Pair
♥J,♣J,♦4,♥10,♦8 | Pair
♥J,♣J,♦4,♥10,♠K | Pair
♥J,♣J,♦4,♥2,♣8 | Pair
♥J,♣J,♦4,♥2,♦7 | Pair
♥J,♣J,♦4,♥2,♦9 | Pair
♥J,♣J,♦4,♥2,♠2 | Two Pairs
♥J,♣J,♦4,♥2,♥4 | Two Pairs
♥J,♣J,♦4,♥2,♥6 | Pair
♥J,♣J,♦4,♥2,♦8 | Pair
♥J,♣J,♦4,♥2,♠K | Pair
♥J,♣J,♦4,♣8,♦7 | Pair
♥J,♣J,♦4,♣8,♦9 | Pair
♥J,♣J,♦4,♣8,♠2 | Pair
♥J,♣J,♦4,♣8,♥4 | Two Pairs
♥J,♣J,♦4,♣8,♥6 | Pair
♥J,♣J,♦4,♣8,♦8 | Two Pairs
♥J,♣J,♦4,♣8,♠K | Pair
♥J,♣J,♦4,♦7,♦9 | Pair
♥J,♣J,♦4,♦7,♠2 | Pair
♥J,♣J,♦4,♦7,♥4 | Two Pairs
♥J,♣J,♦4,♦7,♥6 | Pair
♥J,♣J,♦4,♦7,♦8 | Pair
♥J,♣J,♦4,♦7,♠K | Pair
♥J,♣J,♦4,♦9,♠2 | Pair
♥J,♣J,♦4,♦9,♥4 | Two Pairs
♥J,♣J,♦4,♦9,♥6 | Pair
♥J,♣J,♦4,♦9,♦8 | Pair
♥J,♣J,♦4,♦9,♠K | Pair
♥J,♣J,♦4,♠2,♥4 | Two Pairs
♥J,♣J,♦4,♠2,♥6 | Pair
♥J,♣J,♦4,♠2,♦8 | Pair
♥J,♣J,♦4,♠2,♠K | Pair
♥J,♣J,♦4,♥4,♥6 | Two Pairs
♥J,♣J,♦4,♥4,♦8 | Two Pairs
♥J,♣J,♦4,♥4,♠K | Two Pairs
♥J,♣J,♦4,♥6,♦8 | Pair
♥J,♣J,♦4,♥6,♠K | Pair
♥J,♣J,♦4,♦8,♠K | Pair
♥J,♣J,♥10,♥2,♣8 | Pair
♥J,♣J,♥10,♥2,♦7 | Pair
♥J,♣J,♥10,♥2,♦9 | Pair
♥J,♣J,♥10,♥2,♠2 | Two Pairs
♥J,♣J,♥10,♥2,♥4 | Pair
♥J,♣J,♥10,♥2,♥6 | Pair
♥J,♣J,♥10,♥2,♦8 | Pair
♥J,♣J,♥10,♥2,♠K | Pair
♥J,♣J,♥10,♣8,♦7 | Pair
♥J,♣J,♥10,♣8,♦9 | Pair
♥J,♣J,♥10,♣8,♠2 | Pair
♥J,♣J,♥10,♣8,♥4 | Pair
♥J,♣J,♥10,♣8,♥6 | Pair
♥J,♣J,♥10,♣8,♦8 | Two Pairs
♥J,♣J,♥10,♣8,♠K | Pair
♥J,♣J,♥10,♦7,♦9 | Pair
♥J,♣J,♥10,♦7,♠2 | Pair
♥J,♣J,♥10,♦7,♥4 | Pair
♥J,♣J,♥10,♦7,♥6 | Pair
♥J,♣J,♥10,♦7,♦8 | Pair
