♠10,♣Q,♣8,♣10,♣7 | Pair
♠10,♣Q,♣8,♣10,♠2 | Pair
♠10,♣Q,♣8,♣10,♣3 | Pair
♠10,♣Q,♣8,♣10,♠5 | Pair
♠10,♣Q,♣8,♣10,♥8 | Two Pairs
♠10,♣Q,♣8,♣10,♥2 | Pair
♠10,♣Q,♣8,♣10,♣4 | Pair
♠10,♣Q,♣8,♣10,♣2 | Pair
♠10,♣Q,♣8,♣10,♦J | Pair
♠10,♣Q,♣8,♣7,♥8 | Pair
♠10,♣Q,♣8,♠2,♥8 | Pair
♠10,♣Q,♣8,♠2,♥2 | Pair
♠10,♣Q,♣8,♠2,♣2 | Pair
♠10,♣Q,♣8,♣3,♥8 | Pair
♠10,♣Q,♣8,♠5,♥8 | Pair
♠10,♣Q,♣8,♥8,♥2 | Pair
♠10,♣Q,♣8,♥8,♣4 | Pair
♠10,♣Q,♣8,♥8,♣2 | Pair
♠10,♣Q,♣8,♥8,♦J | Pair
♠10,♣Q,♣8,♥2,♣2 | Pair
♠10,♣Q,♣10,♣7,♠2 | Pair
♠10,♣Q,♣10,♣7,♣3 | Pair
♠10,♣Q,♣10,♣7,♠5 | Pair
♠10,♣Q,♣10,♣7,♥8 | Pair
♠10,♣Q,♣10,♣7,♥2 | Pair
♠10,♣Q,♣10,♣7,♣4 | Pair
♠10,♣Q,♣10,♣7,♣2 | Pair
♠10,♣Q,♣10,♣7,♦J | Pair
♠10,♣Q,♣10,♠2,♣3 | Pair
♠10,♣Q,♣10,♠2,♠5 | Pair
♠10,♣Q,♣10,♠2,♥8 | Pair
♠10,♣Q,♣10,♠2,♥2 | Two Pairs
♠10,♣Q,♣10,♠2,♣4 | Pair
♠10,♣Q,♣10,♠2,♣2 | Two Pairs
♠10,♣Q,♣10,♠2,♦J | Pair
♠10,♣Q,♣10,♣3,♠5 | Pair
♠10,♣Q,♣10,♣3,♥8 | Pair
♠10,♣Q,♣10,♣3,♥2 | Pair
♠10,♣Q,♣10,♣3,♣4 | Pair
♠10,♣Q,♣10,♣3,♣2 | Pair
♠10,♣Q,♣10,♣3,♦J | Pair
♠10,♣Q,♣10,♠5,♥8 | Pair
♠10,♣Q,♣10,♠5,♥2 | Pair
♠10,♣Q,♣10,♠5,♣4 | Pair
♠10,♣Q,♣10,♠5,♣2 | Pair
♠10,♣Q,♣10,♠5,♦J | Pair
♠10,♣Q,♣10,♥8,♥2 | Pair
♠10,♣Q,♣10,♥8,♣4 | Pair
♠10,♣Q,♣10,♥8,♣2 | Pair
♠10,♣Q,♣10,♥8,♦J | Pair
♠10,♣Q,♣10,♥2,♣4 | Pair
♠10,♣Q,♣10,♥2,♣2 | Two Pairs
♠10,♣Q,♣10,♥2,♦J | Pair
♠10,♣Q,♣10,♣4,♣2 | Pair
♠10,♣Q,♣10,♣4,♦J | Pair
