♥Q,♣J,♦7,♥8,♣Q | Pair
♥Q,♣J,♦7,♥8,♠Q | Pair
♥Q,♣J,♦7,♠9,♣Q | Pair
♥Q,♣J,♦7,♠9,♣9 | Pair
♥Q,♣J,♦7,♠9,♠Q | Pair
♥Q,♣J,♦7,♣Q,♥10 | Pair
♥Q,♣J,♦7,♣Q,♥2 | Pair
♥Q,♣J,♦7,♣Q,♣9 | Pair
♥Q,♣J,♦7,♣Q,♠Q | Pair
♥Q,♣J,♦7,♥10,♠Q | Pair
♥Q,♣J,♦7,♥2,♠Q | Pair
♥Q,♣J,♦7,♣9,♠Q | Pair
♥Q,♣J,♥8,♠9,♣Q | Pair
♥Q,♣J,♥8,♠9,♥10 | Straight
♥Q,♣J,♥8,♠9,♣9 | Pair
♥Q,♣J,♥8,♠9,♠Q | Pair
♥Q,♣J,♥8,♣Q,♥10 | Pair
♥Q,♣J,♥8,♣Q,♥2 | Pair
♥Q,♣J,♥8,♣Q,♣9 | Pair
♥Q,♣J,♥8,♣Q,♠Q | Pair
♥Q,♣J,♥8,♥10,♣9 | Straight
♥Q,♣J,♥8,♥10,♠Q | Pair
♥Q,♣J,♥8,♥2,♠Q | Pair
♥Q,♣J,♥8,♣9,♠Q | Pair
♥Q,♣J,♠9,♣Q,♥10 | Pair
♥Q,♣J,♠9,♣Q,♥2 | Pair
♥Q,♣J,♠9,♣Q,♣9 | Two Pairs
♥Q,♣J,♠9,♣Q,♠Q | Pair
♥Q,♣J,♠9,♥10,♣9 | Pair
♥Q,♣J,♠9,♥10,♠Q | Pair
♥Q,♣J,♠9,♥2,♣9 | Pair
♥Q,♣J,♠9,♥2,♠Q | Pair
♥Q,♣J,♠9,♣9,♠Q | Two Pairs
♥Q,♣J,♣Q,♥10,♥2 | Pair
♥Q,♣J,♣Q,♥10,♣9 | Pair
♥Q,♣J,♣Q,♥10,♠Q | Pair
♥Q,♣J,♣Q,♥2,♣9 | Pair
♥Q,♣J,♣Q,♥2,♠Q | Pair
♥Q,♣J,♣Q,♣9,♠Q | Pair
♥Q,♣J,♥10,♥2,♠Q | Pair
♥Q,♣J,♥10,♣9,♠Q | Pair
♥Q,♣J,♥2,♣9,♠Q | Pair
♥Q,♦7,♥8,♠9,♣Q | Pair
♥Q,♦7,♥8,♠9,♣9 | Pair
♥Q,♦7,♥8,♠9,♠Q | Pair
♥Q,♦7,♥8,♣Q,♥10 | Pair
♥Q,♦7,♥8,♣Q,♥2 | Pair
♥Q,♦7,♥8,♣Q,♣9 | Pair
♥Q,♦7,♥8,♣Q,♠Q | Pair
♥Q,♦7,♥8,♥10,♠Q | Pair
♥Q,♦7,♥8,♥2,♠Q | Pair
♥Q,♦7,♥8,♣9,♠Q | Pair
♥Q,♦7,♠9,♣Q,♥10 | Pair
♥Q,♦7,♠9,♣Q,♥2 | Pair
