♦6,♣3,♦Q,♣10,♥6 | Pair
♦6,♣3,♦Q,♦4,♥6 | Pair
♦6,♣3,♦Q,♥6,♣7 | Pair
♦6,♣3,♦Q,♥6,♦2 | Pair
♦6,♣3,♦Q,♥6,♦J | Pair
♦6,♣3,♦Q,♥6,♦K | Pair
♦6,♣3,♦Q,♥6,♥A | Pair
♦6,♣3,♦Q,♥6,♠7 | Pair
♦6,♣3,♦Q,♣7,♠7 | Pair
♦6,♣3,♣10,♦4,♥6 | Pair
♦6,♣3,♣10,♥6,♣7 | Pair
♦6,♣3,♣10,♥6,♦2 | Pair
♦6,♣3,♣10,♥6,♦J | Pair
♦6,♣3,♣10,♥6,♦K | Pair
♦6,♣3,♣10,♥6,♥A | Pair
♦6,♣3,♣10,♥6,♠7 | Pair
♦6,♣3,♣10,♣7,♠7 | Pair
♦6,♣3,♦4,♥6,♣7 | Pair
♦6,♣3,♦4,♥6,♦2 | Pair
♦6,♣3,♦4,♥6,♦J | Pair
♦6,♣3,♦4,♥6,♦K | Pair
♦6,♣3,♦4,♥6,♥A | Pair
♦6,♣3,♦4,♥6,♠7 | Pair
♦6,♣3,♦4,♣7,♠7 | Pair
♦6,♣3,♥6,♣7,♦2 | Pair
♦6,♣3,♥6,♣7,♦J | Pair
♦6,♣3,♥6,♣7,♦K | Pair
♦6,♣3,♥6,♣7,♥A | Pair
♦6,♣3,♥6,♣7,♠7 | Two Pairs
♦6,♣3,♥6,♦2,♦J | Pair
♦6,♣3,♥6,♦2,♦K | Pair
♦6,♣3,♥6,♦2,♥A | Pair
♦6,♣3,♥6,♦2,♠7 | Pair
♦6,♣3,♥6,♦J,♦K | Pair
♦6,♣3,♥6,♦J,♥A | Pair
♦6,♣3,♥6,♦J,♠7 | Pair
♦6,♣3,♥6,♦K,♥A | Pair
♦6,♣3,♥6,♦K,♠7 | Pair
♦6,♣3,♥6,♥A,♠7 | Pair
♦6,♣3,♣7,♦2,♠7 | Pair
♦6,♣3,♣7,♦J,♠7 | Pair
