♥Q, ♦A, ♠6, ♦7, ♠7 | pair
♥Q, ♦A, ♠5, ♦7, ♠7 | pair
♥Q, ♦A, ♦7, ♣4, ♠7 | pair
♥Q, ♦A, ♦7, ♠8, ♠7 | pair
♥Q, ♦A, ♦7, ♠7, ♥3 | pair
♥Q, ♠6, ♠5, ♦7, ♠7 | pair
♥Q, ♠6, ♦7, ♣4, ♠7 | pair
♥Q, ♠6, ♦7, ♠8, ♠7 | pair
♥Q, ♠6, ♦7, ♠7, ♥3 | pair
♥Q, ♠5, ♦7, ♣4, ♠7 | pair
♥Q, ♠5, ♦7, ♠8, ♠7 | pair
♥Q, ♠5, ♦7, ♠7, ♥3 | pair
♥Q, ♦7, ♣4, ♠8, ♠7 | pair
♥Q, ♦7, ♣4, ♠7, ♥3 | pair
♥Q, ♦7, ♠8, ♠7, ♥3 | pair
♦A, ♠6, ♠5, ♦7, ♠7 | pair
♦A, ♠6, ♦7, ♣4, ♠7 | pair
♦A, ♠6, ♦7, ♠8, ♠7 | pair
♦A, ♠6, ♦7, ♠7, ♥3 | pair
♦A, ♠5, ♦7, ♣4, ♠7 | pair
♦A, ♠5, ♦7, ♠8, ♠7 | pair
♦A, ♠5, ♦7, ♠7, ♥3 | pair
♦A, ♦7, ♣4, ♠8, ♠7 | pair
♦A, ♦7, ♣4, ♠7, ♥3 | pair
♦A, ♦7, ♠8, ♠7, ♥3 | pair
♠6, ♠5, ♦7, ♣4, ♠8 | straight
♠6, ♠5, ♦7, ♣4, ♠7 | pair
♠6, ♠5, ♦7, ♣4, ♥3 | straight
♠6, ♠5, ♦7, ♠8, ♠7 | pair
♠6, ♠5, ♦7, ♠7, ♥3 | pair
♠6, ♠5, ♣4, ♠8, ♠7 | straight
♠6, ♠5, ♣4, ♠7, ♥3 | straight
♠6, ♦7, ♣4, ♠8, ♠7 | pair
♠6, ♦7, ♣4, ♠7, ♥3 | pair
♠6, ♦7, ♠8, ♠7, ♥3 | pair
♠5, ♦7, ♣4, ♠8, ♠7 | pair
♠5, ♦7, ♣4, ♠7, ♥3 | pair
♠5, ♦7, ♠8, ♠7, ♥3 | pair
♦7, ♣4, ♠8, ♠7, ♥3 | pair
