♣4,♠7,♠8,♦K,♥K | Pair
♣4,♠7,♠8,♦K,♠K | Pair
♣4,♠7,♠8,♦A,♠A | Pair
♣4,♠7,♠8,♥K,♠K | Pair
♣4,♠7,♦K,♥J,♥K | Pair
♣4,♠7,♦K,♥J,♠K | Pair
♣4,♠7,♦K,♦A,♥K | Pair
♣4,♠7,♦K,♦A,♠K | Pair
♣4,♠7,♦K,♦A,♠A | Pair
♣4,♠7,♦K,♥K,♠K | Pair
♣4,♠7,♦K,♥K,♦2 | Pair
♣4,♠7,♦K,♥K,♠A | Pair
♣4,♠7,♦K,♥K,♦5 | Pair
♣4,♠7,♦K,♥K,♣9 | Pair
♣4,♠7,♦K,♠K,♦2 | Pair
♣4,♠7,♦K,♠K,♠A | Pair
♣4,♠7,♦K,♠K,♦5 | Pair
♣4,♠7,♦K,♠K,♣9 | Pair
♣4,♠7,♥J,♦A,♠A | Pair
♣4,♠7,♥J,♥K,♠K | Pair
♣4,♠7,♦A,♥K,♠K | Pair
♣4,♠7,♦A,♥K,♠A | Pair
♣4,♠7,♦A,♠K,♠A | Pair
♣4,♠7,♦A,♦2,♠A | Pair
♣4,♠7,♦A,♠A,♦5 | Pair
♣4,♠7,♦A,♠A,♣9 | Pair
♣4,♠7,♥K,♠K,♦2 | Pair
♣4,♠7,♥K,♠K,♠A | Pair
♣4,♠7,♥K,♠K,♦5 | Pair
♣4,♠7,♥K,♠K,♣9 | Pair
♣4,♠8,♦K,♥J,♥K | Pair
♣4,♠8,♦K,♥J,♠K | Pair
♣4,♠8,♦K,♦A,♥K | Pair
♣4,♠8,♦K,♦A,♠K | Pair
♣4,♠8,♦K,♦A,♠A | Pair
♣4,♠8,♦K,♥K,♠K | Pair
♣4,♠8,♦K,♥K,♦2 | Pair
♣4,♠8,♦K,♥K,♠A | Pair
♣4,♠8,♦K,♥K,♦5 | Pair
♣4,♠8,♦K,♥K,♣9 | Pair
♣4,♠8,♦K,♠K,♦2 | Pair
♣4,♠8,♦K,♠K,♠A | Pair
♣4,♠8,♦K,♠K,♦5 | Pair
♣4,♠8,♦K,♠K,♣9 | Pair
♣4,♠8,♥J,♦A,♠A | Pair
♣4,♠8,♥J,♥K,♠K | Pair
♣4,♠8,♦A,♥K,♠K | Pair
♣4,♠8,♦A,♥K,♠A | Pair
♣4,♠8,♦A,♠K,♠A | Pair
♣4,♠8,♦A,♦2,♠A | Pair
♣4,♠8,♦A,♠A,♦5 | Pair
♣4,♠8,♦A,♠A,♣9 | Pair
♣4,♠8,♥K,♠K,♦2 | Pair
♣4,♠8,♥K,♠K,♠A | Pair
♣4,♠8,♥K,♠K,♦5 | Pair
♣4,♠8,♥K,♠K,♣9 | Pair
