"♠6♥7♣5♣6♥8 | Pair
","♠4♦9♣3♠9♣5 | Pair
","♠2♥10♦9♠9♣5 | Pair
","♠2♥10♦9♦6♣6 | Pair
","♠2♥10♦9♦6♠9 | Pair
","♠2♥10♦9♣3♠9 | Pair
","♠2♥10♥7♦6♣6 | Pair
","♠2♥10♦9♥7♠9 | Pair
","♠2♠6♣5♣6♥8 | Pair
","♠2♠6♠9♣6♥8 | Pair
","♠2♠6♠9♣5♣6 | Pair
","♦6♠9♣5♣6♥8 | Pair
","♠2♠6♦6♣5♥8 | Pair
","♠4♠2♥A♠6♦6 | Pair
","♠2♠6♦6♠9♥8 | Pair
","♣3♦6♣5♣6♥8 | Pair
","♠2♥10♣3♦6♣6 | Pair
","♠2♠6♦6♠9♣5 | Pair
","♠2♠6♣3♣6♥8 | Pair
","♠2♠6♣3♣5♣6 | Pair
","♠2♠6♣3♠9♣6 | Pair
","♠2♠6♣3♦6♥8 | Pair
","♣3♦6♠9♣6♥8 | Pair
","♠2♠6♣3♦6♣5 | Pair
","♠2♠6♣3♦6♠9 | Pair
","♠2♥10♦6♠9♣6 | Pair
","♠2♠6♥7♣6♥8 | Pair
","♠2♥10♦6♣5♣6 | Pair
","♠2♠6♥7♣5♣6 | Pair
","♠2♥10♦6♣6♥8 | Pair
","♠2♠6♥7♠9♣6 | Pair
","♠2♠6♥7♦6♥8 | Pair
","♠4♠2♥A♠6♣6 | Pair
","♠2♠6♥7♦6♣5 | Pair
","♠2♠6♥7♦6♠9 | Pair
","♠2♦9♥7♣3♠9 | Pair
","♠2♠6♥7♣3♣6 | Pair
","♠2♠6♥7♣3♦6 | Pair
","♠2♠6♦9♣6♥8 | Pair
","♠2♦9♥7♦6♠9 | Pair
","♠2♠6♦9♣5♣6 | Pair
","♠2♦9♥7♦6♣6 | Pair
","♠2♠6♦9♠9♥8 | Pair
","♠2♦9♥7♠9♣5 | Pair
","♠2♦9♥7♠9♣6 | Pair
","♠2♦9♥7♠9♥8 | Pair
","♣3♦6♠9♣5♣6 | Pair
","♠2♠6♦9♠9♣5 | Pair
","♠2♠6♥10♣6♥8 | Pair
","♠2♦9♣3♦6♠9 | Pair
","♥7♦6♣5♣6♥8 | Pair
","♠2♦9♣3♦6♣6 | Pair
","♠2♠6♦9♥7♦6 | Pair
","♠2♦9♣3♠9♣5 | Pair
","♠2♦9♣3♠9♣6 | Pair
","♠2♦9♣3♠9♥8 | Pair
","♥7♦6♠9♣6♥8 | Pair
","♠2♠6♦9♣3♣6 | Pair
","♠2♠6♦9♣3♠9 | Pair
","♠2♦9♦6♠9♣5 | Pair
","♥7♦6♠9♣5♣6 | Pair
","♠2♦9♦6♠9♥8 | Pair
","♠2♦9♦6♣5♣6 | Pair
","♠2♠6♦9♣3♦6 | Pair
","♠2♦9♦6♣6♥8 | Pair
","♠2♦9♠9♣5♣6 | Pair
","♠2♦9♠9♣5♥8 | Pair
","♠2♦9♠9♣6♥8 | Pair
","♠2♠6♦9♥7♣6 | Pair
","♠2♠6♦9♥7♠9 | Pair
","♠2♠6♦9♦6♣5 | Pair
","♠2♥7♣3♦6♣6 | Pair
","♠4♠2♠6♣5♣6 | Pair
","♠2♠6♦9♦6♥8 | Pair
","♠2♠6♥10♣5♣6 | Pair
","♠2♠6♥10♠9♣6 | Pair
","♠2♠6♥10♦6♥8 | Pair
","♠4♠2♥A♦9♠9 | Pair
","♠2♠6♥10♦6♣5 | Pair
","♠2♠6♥10♦6♠9 | Pair
","♠2♥7♦6♠9♣6 | Pair
","♠2♠6♥10♣3♣6 | Pair
","♠2♥7♦6♣5♣6 | Pair
","♠2♠6♥10♣3♦6 | Pair
","♠2♥7♦6♣6♥8 | Pair
","♠2♠6♥10♥7♣6 | Pair
","♠2♠6♥10♥7♦6 | Pair
","♠2♠6♥10♦9♣6 | Pair
","♠2♠6♥10♦9♠9 | Pair
","♠2♠6♥10♦9♦6 | Pair
","♠2♣3♦6♠9♣6 | Pair
","♠2♥A♦6♣6♥8 | Pair
","♠2♣3♦6♣5♣6 | Pair
","♠2♥A♦6♣5♣6 | Pair
","♠2♣3♦6♣6♥8 | Pair
