♠4,♠2,♥A,♠6,♦6 | Pair
♠4,♠2,♥A,♠6,♣6 | Pair
♠4,♠2,♥A,♦9,♠9 | Pair
♠4,♠2,♥A,♣3,♣5 | Straight
♠4,♠2,♥A,♦6,♣6 | Pair
♠4,♠2,♠6,♥10,♦6 | Pair
♠4,♠2,♠6,♥10,♣6 | Pair
♠4,♠2,♠6,♦9,♦6 | Pair
♠4,♠2,♠6,♦9,♠9 | Pair
♠4,♠2,♠6,♦9,♣6 | Pair
♠4,♠2,♠6,♥7,♦6 | Pair
♠4,♠2,♠6,♥7,♣6 | Pair
♠4,♠2,♠6,♣3,♦6 | Pair
♠4,♠2,♠6,♣3,♣5 | Straight
♠4,♠2,♠6,♣3,♣6 | Pair
♠4,♠2,♠6,♦6,♠9 | Pair
♠4,♠2,♠6,♦6,♣5 | Pair
♠4,♠2,♠6,♦6,♣6 | Pair
♠4,♠2,♠6,♦6,♥8 | Pair
♠4,♠2,♠6,♠9,♣6 | Pair
♠4,♠2,♠6,♣5,♣6 | Pair
♠4,♠2,♠6,♣6,♥8 | Pair
♠4,♠2,♥10,♦9,♠9 | Pair
♠4,♠2,♥10,♦6,♣6 | Pair
♠4,♠2,♦9,♥7,♠9 | Pair
♠4,♠2,♦9,♣3,♠9 | Pair
♠4,♠2,♦9,♦6,♠9 | Pair
♠4,♠2,♦9,♦6,♣6 | Pair
♠4,♠2,♦9,♠9,♣5 | Pair
♠4,♠2,♦9,♠9,♣6 | Pair
♠4,♠2,♦9,♠9,♥8 | Pair
♠4,♠2,♥7,♦6,♣6 | Pair
♠4,♠2,♣3,♦6,♣5 | Straight
♠4,♠2,♣3,♦6,♣6 | Pair
♠4,♠2,♣3,♣5,♣6 | Straight
♠4,♠2,♦6,♠9,♣6 | Pair
♠4,♠2,♦6,♣5,♣6 | Pair
♠4,♠2,♦6,♣6,♥8 | Pair
♠4,♥A,♠6,♥10,♦6 | Pair
♠4,♥A,♠6,♥10,♣6 | Pair
♠4,♥A,♠6,♦9,♦6 | Pair
♠4,♥A,♠6,♦9,♠9 | Pair
♠4,♥A,♠6,♦9,♣6 | Pair
♠4,♥A,♠6,♥7,♦6 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♣3,♦6 | Pair
♠4,♥A,♠6,♣3,♣6 | Pair
♠4,♥A,♠6,♦6,♠9 | Pair
♠4,♥A,♠6,♦6,♣5 | Pair
♠4,♥A,♠6,♦6,♣6 | Pair
♠4,♥A,♠6,♦6,♥8 | Pair
