♥9,♣Q,♦10,♥8,♣10 | Pair
♥9,♣Q,♦10,♥8,♠J | Straight
♥9,♣Q,♦10,♥A,♣10 | Pair
♥9,♣Q,♦10,♦3,♣10 | Pair
♥9,♣Q,♦10,♦3,♥3 | Pair
♥9,♣Q,♦10,♣10,♥K | Pair
♥9,♣Q,♦10,♣10,♠J | Pair
♥9,♣Q,♦10,♣10,♠2 | Pair
♥9,♣Q,♦10,♣10,♥3 | Pair
♥9,♣Q,♦10,♥K,♠J | Straight
♥9,♣Q,♥8,♦3,♥3 | Pair
♥9,♣Q,♥8,♣10,♠J | Straight
♥9,♣Q,♥A,♦3,♥3 | Pair
♥9,♣Q,♦3,♣10,♥3 | Pair
♥9,♣Q,♦3,♥K,♥3 | Pair
♥9,♣Q,♦3,♠J,♥3 | Pair
♥9,♣Q,♦3,♠2,♥3 | Pair
♥9,♣Q,♣10,♥K,♠J | Straight
♥9,♦10,♥8,♥A,♣10 | Pair
♥9,♦10,♥8,♦3,♣10 | Pair
♥9,♦10,♥8,♦3,♥3 | Pair
♥9,♦10,♥8,♣10,♥K | Pair
♥9,♦10,♥8,♣10,♠J | Pair
♥9,♦10,♥8,♣10,♠2 | Pair
♥9,♦10,♥8,♣10,♥3 | Pair
♥9,♦10,♥A,♦3,♣10 | Pair
♥9,♦10,♥A,♦3,♥3 | Pair
♥9,♦10,♥A,♣10,♥K | Pair
♥9,♦10,♥A,♣10,♠J | Pair
♥9,♦10,♥A,♣10,♠2 | Pair
♥9,♦10,♥A,♣10,♥3 | Pair
♥9,♦10,♦3,♣10,♥K | Pair
♥9,♦10,♦3,♣10,♠J | Pair
♥9,♦10,♦3,♣10,♠2 | Pair
♥9,♦10,♦3,♣10,♥3 | Two Pairs
♥9,♦10,♦3,♥K,♥3 | Pair
♥9,♦10,♦3,♠J,♥3 | Pair
♥9,♦10,♦3,♠2,♥3 | Pair
♥9,♦10,♣10,♥K,♠J | Pair
♥9,♦10,♣10,♥K,♠2 | Pair
♥9,♦10,♣10,♥K,♥3 | Pair
♥9,♦10,♣10,♠J,♠2 | Pair
♥9,♦10,♣10,♠J,♥3 | Pair
♥9,♦10,♣10,♠2,♥3 | Pair
